Time;U_t;V_t
0.0;1.0;0.0
0.005;0.993765802475589;-2.4892246976962604
0.01;0.9751779908805575;-4.936328587845609
0.015;0.9445232765274703;-7.311010893489082
0.02;0.90223743110169;-9.584008327510979
0.025;0.8488992053390351;-11.727455151021571
0.03;0.78522246107754;-13.715224036891918
0.035;0.712046681524968;-15.523243774191098
0.04;0.6303259591770537;-17.12979013863541
0.045;0.5411165903576128;-18.515746010608705
0.05;0.4455634585172625;-19.664827939229777
0.055;0.344885377607985;-20.563776346164136
0.06;0.2403595745612018;-21.2025072759115
0.065;0.13330551630020682;-21.574223841961057
0.07;0.025068282154616813;-21.67548624637383
0.075;-0.08299830703226554;-21.50623966095907
0.08;-0.18954860401043466;-21.06979981133805
0.085;-0.2932618540072152;-20.37279659017066
0.09;-0.39285854093660466;-19.425076696625275
0.095;-0.4871161458510479;-18.239566610863676
0.1;-0.5748841273766829;-16.83209777972372
0.105;-0.6550979338288714;-15.2211964225126
0.11;-0.7267918806611032;-13.427840669869848
0.115;-0.7891107424102978;-11.4751882696673
0.12;-0.8413199151779976;-9.388278331281676
0.125;-0.8828140302972037;-7.193710957234483
0.13;-0.9131239204025093;-4.9193088728515075
0.135;-0.9319218571946696;-2.593765328083269
0.14;-0.9390250031004008;-0.24628270812711434
0.145;-0.9343970429745011;2.093793557729741
0.15;-0.918147983127754;4.397341263454578
0.155;-0.8905321274936283;6.635823263062114
0.16;-0.8519442652885182;8.781640408303879
0.165;-0.802914125391736;10.80847122740244
0.17;-0.7440991731713122;12.691594140936878
0.17500000000000002;-0.6762758528866339;14.408188378717414
0.18;-0.6003293792848761;15.937609785313633
0.185;-0.5172422240610529;17.261638338328652
0.19;-0.42808144154452954;18.36469432264957
0.195;-0.33398499664656955;19.234020662624253
0.2;-0.23614727028161592;19.859829269358627
0.20500000000000002;-0.13580393025669704;20.23540972518225
0.21;-0.0342163374444951;20.357199251867236
0.215;0.06734426183304332;20.22481285861303
0.22;0.167612632939785;19.841034133678395
0.225;0.2653452875836232;19.21176636252725
0.23;0.3593358794850439;18.345945071797246
0.23500000000000001;0.4484300681343678;17.255413161198327
0.24;0.5315396681058737;15.954760371730345
0.245;0.6076559124152425;14.46112926651189
0.25;0.675861667305703;12.793990279914503
0.255;0.7353424466660547;10.974888633725373
0.26;0.7853961058173086;9.027166808723031
0.265;0.8254410865081458;6.975665599044133
0.27;0.8550231242664847;4.846407938391763
0.275;0.8738203397502531;2.666269431879465
0.28;0.8816466604799236;0.4626396938186792
0.28500000000000003;0.8784535316510491;-1.736921201118789
0.29;0.86432990712002;-3.905026850538383
0.295;0.8395005271585919;-6.01480496071389
0.3;0.8043225140029947;-8.040229842540112
0.305;0.7592803312422974;-9.956442907766437
0.31;0.7049791805080684;-11.740057176738143
0.315;0.6421369189644083;-13.369442056464466
0.32;0.5715746184071397;-14.824985091307285
0.325;0.4942058697612709;-16.08932721974932
0.33;0.41102498572298596;-17.147568862172754
0.335;0.3230942781030904;-17.987445493530107
0.34;0.23153046142940864;-18.59946695694787
0.34500000000000003;0.13749055240002295;-18.97702472787335
0.35000000000000003;0.04215725366897173;-19.11646103807483
0.355;-0.05327589482032378;-19.017101192800055
0.36;-0.1476194363695249;-18.681248665013268
0.365;-0.23970279746684553;-18.114143143445855
0.37;-0.3283887896382042;-17.323882129904774
0.375;-0.41258762127779;-16.32130731692594
0.38;-0.4912702720095231;-15.119857271906914
0.385;-0.5634810407034225;-13.735388394366035
0.39;-0.6283491251061122;-12.185966587353146
0.395;-0.6850990909389649;-10.491632301471215
0.4;-0.7330601088345075;-8.674142047480947
0.405;-0.7716738448380991;-6.756689662494912
0.41000000000000003;-0.8005009156297296;-4.763610938243973
0.41500000000000004;-0.819225831150533;-2.720075303022316
0.42;-0.827660373132325;-0.6517685295222994
0.425;-0.8257453718964773;1.4154296012044103
0.43;-0.8135508678761381;3.4557685977027255
0.435;-0.7912746623464969;5.443947513535454
0.44;-0.7592392829495884;7.35542816565501
0.445;-0.7178874084966264;9.166737454152944
0.45;-0.6677758177171695;10.855755059769692
0.455;-0.6095679416236571;12.401982978539554
0.46;-0.544025127967981;13.786793787048417
0.465;-0.471996710378253;14.993654230416919
0.47000000000000003;-0.3944090355169345;16.008321826525002
0.47500000000000003;-0.3122535988141701;16.819012826124418
0.48;-0.22657434766222892;17.416536502365243
0.485;-0.13845449524801076;17.794399438090398
0.49;-0.04900282707219733;17.94887400363018
0.495;0.04066022528104702;17.879032398466403
0.5;0.12941659708480327;17.586745713897862
0.505;0.2161645078424037;17.07664817368282
0.51;0.29983212068420495;16.356067044154475
0.515;0.3793907562600558;15.434919327587759
0.52;0.45386752063706653;14.325576660019363
0.525;0.5223571759657096;13.042700208981183
0.53;0.5840331181092476;11.60304780028045
0.535;0.6381573239334191;10.025255768216299
0.54;0.6840891514659393;8.329598384664488
0.545;0.7212928868843754;6.537727952866107
0.55;0.7493439510380737;4.672398889372018
0.555;0.7679336943024964;2.7571792417271284
0.56;0.7768727210230693;0.8161536266617949
0.5650000000000001;0.7760927228807093;-1.1263794262755757
0.5700000000000001;0.7656467847030587;-3.0462109055066926
0.5750000000000001;0.7457081847445524;-4.91952275277469
0.58;0.7165676977916198;-6.723182752664825
0.585;0.6786294483895832;-8.435029713116466
0.59;0.6324053724474894;-10.034145152133007
0.595;0.57850835028442;-11.501108712391664
0.6;0.517644128110464;-12.818233003598415
0.605;0.45060210719843896;-13.969776457028356
0.61;0.3782451397827469;-14.942130608097113
0.615;0.3014984442931683;-15.723980366619918
0.62;0.22133780345615678;-16.30643467656004
0.625;0.13877718050680332;-16.68312642121791
0.63;0.05485591581212162;-16.850280502808268
0.635;-0.029374335372756195;-16.806749311251345
0.64;-0.112862760872801;-16.55401532420017
0.645;-0.19457247985067805;-16.096160883564487
0.65;-0.27349340009157286;-15.439805638202067
0.655;-0.348654679752494;-14.594013002623118
0.66;-0.4191366535508837;-13.570166067222868
0.665;-0.48408205916876207;-12.381815560692788
0.67;-0.5427064386045436;-11.04450135126672
0.675;-0.5943075910296196;-9.575549845893939
0.68;-0.6382739514085289;-7.993850235747517
0.685;-0.6740918046321339;-6.3196122059746695
0.6900000000000001;-0.7013512530319378;-4.574108167355389
0.6950000000000001;-0.7197508575906177;-2.7794035290940124
0.7000000000000001;-0.7291009085110944;-0.9580782637947701
0.705;-0.7293252937177339;0.8670567708123555
0.71;-0.7204619376752879;2.6732450181481524
0.715;-0.702661820725443;4.438067544741776
0.72;-0.6761865936190165;6.139720819571446
0.725;-0.6414048235938747;7.757285637518066
0.73;-0.5987869253801088;9.270983806579345
0.735;-0.5488988458241331;10.66241947043822
0.74;-0.49239458632856814;11.914802140981827
0.745;-0.4300076617895997;13.013148726280168
0.75;-0.3625416067710845;13.944462144156898
0.755;-0.29085965173824707;14.69788439128027
0.76;-0.21587370223521615;15.264822274188168
0.765;-0.1385327591877141;15.639044379229734
0.77;-0.05981092927794;15.816748167876346
0.775;0.01930482252444024;15.796596506807038
0.78;0.09782702712386475;15.57972332843533
0.785;0.17478001672880658;15.169708479193003
0.79;0.24921202810611354;14.572522203772431
0.795;0.32020695025801643;13.796440128012605
0.8;0.3868955920472433;12.851929777928184
0.805;0.4484662867220559;11.751510457738146
0.81;0.5041747561170457;10.509588096528027
0.8150000000000001;0.5533530805929592;9.142267342127052
0.8200000000000001;0.5954176807758018;7.667143333240864
0.8250000000000001;0.6298762121101039;6.103075827882451
0.8300000000000001;0.6563332917149619;4.4699485794997615
0.835;0.6744949934965618;2.7884169416933564
0.84;0.6841720507263432;1.079647414747695
0.845;0.6852817572108146;-0.6349487881104012
0.85;0.6778485151010746;-2.3339833207590006
0.855;0.6620030558672891;-3.9963571661468573
0.86;0.6379803363571838;-5.601522215018992
0.865;0.6061161462658663;-7.129734826725195
0.87;0.5668424749825258;-8.562298203538829
0.875;0.5206817028483701;-9.881790585248329
0.88;0.4682396773731863;-11.072277094712993
0.885;0.41019780776755865;-12.119500847424124
0.89;0.34730423096911633;-13.01105365623048
0.895;0.2803641956975611;-13.736522124407204
0.9;0.2102297703252467;-14.287608634637825
0.905;0.13778902038453572;-14.658225300502288
0.91;0.06395478401446164;-14.844559865741688
0.915;-0.010346812597513369;-14.845113066900982
0.92;-0.08418795257737816;-14.66070697889051
0.925;-0.15665069614110147;-14.294464456109628
0.93;-0.226838373051226;-13.751759951822187
0.935;-0.2938866596611712;-13.040142398030646
0.9400000000000001;-0.3569742016734047;-12.169231696803855
0.9450000000000001;-0.41533265877476844;-11.15058938001974
0.9500000000000001;-0.46825603875742844;-9.997566034229402
0.9550000000000001;-0.5151092151001989;-8.725126955350428
0.96;-0.5553355259597972;-7.349658427984513
0.965;-0.5884633578401784;-5.888757277840294
0.97;-0.6141116414043082;-4.361006257188901
0.975;-0.631994197340269;-2.785738057672232
0.98;-0.6419228771637167;-1.1827911325187204
0.985;-0.6438094690960429;0.42773971240356534
0.99;-0.6376663532694153;2.0257548746428737
0.995;-0.6236058974527511;3.591400367116079
1.0;-0.6018386101283305;5.105314073668742
1.0050000000000001;-0.5726700814969061;6.548864830041783
1.01;-0.5364967510209262;7.90438125761271
1.0150000000000001;-0.49380056207358336;9.155367648570182
1.02;-0.4451425770308869;10.286704269613956
1.025;-0.391155633475991;11.284829574088477
1.03;-0.3325361387573415;12.137902217440102
1.035;-0.27003511037747696;12.835940932061161
1.04;-0.20444857448120365;13.370940578836871
1.045;-0.13660744975518213;13.7369630167773
1.05;-0.06736703501771497;13.930201951726556
1.055;0.002403750947052981;13.94902077612662
1.06;0.0718332611785705;13.793963320756598
1.065;0.140057988369375;13.46773730872635
1.07;0.20623328919429662;12.975171017750483
1.075;0.2695438244442592;12.323143617927782
1.08;0.3292135830331361;11.520490317786985
1.085;0.3845153804210748;10.577883573603703
1.09;0.43477969495151675;9.507691928181153
1.095;0.47940275691202305;8.323818305653521
1.1;0.5178537752513102;7.04151996614215
1.105;0.5496812242698884;5.6772124112348505
1.11;0.5745181189500225;4.248259604708599
1.115;0.5920862049018738;2.7727535217106962
1.12;0.6021990358151497;1.269285336567219
1.125;0.6047638810291506;-0.24328830280164682
1.1300000000000001;0.5997824651308133;-1.7460814560527016
1.135;0.5873505246885502;-3.220414308220001
1.1400000000000001;0.567656195928441;-4.648044986790066
1.145;0.5409772583981929;-6.011394883976972
1.1500000000000001;0.5076772738895172;-7.2937647063713085
1.155;0.4682006729789385;-8.479538588834595
1.16;0.4230668620870724;-9.554373907143335
1.165;0.37286341075007295;-10.505374183057269
1.17;0.31823842882885633;-11.321243303857692
1.175;0.2598922359853254;-11.992419576203178
1.18;0.19856836507186976;-12.511186110997587
1.185;0.13504414540971524;-12.87175962265289
1.19;0.0701208507067401;-13.07035359861834
1.195;0.004613610788760943;-13.105216526927798
1.2;-0.06065880679424174;-12.976644635894731
1.205;-0.12488421235840302;-12.68696909541697
